J       CT       CP       eta
0.085   0.1097   0.0481   0.194
0.108   0.1085   0.0485   0.241
0.134   0.1066   0.0488   0.292
0.155   0.1050   0.0492   0.331
0.176   0.1031   0.0494   0.367
0.197   0.1013   0.0497   0.401
0.220   0.0991   0.0499   0.436
0.242   0.0971   0.0502   0.468
0.266   0.0945   0.0503   0.499
0.286   0.0918   0.0502   0.524
0.309   0.0893   0.0503   0.549
0.328   0.0867   0.0500   0.568
0.350   0.0837   0.0497   0.589
0.370   0.0804   0.0491   0.606
0.392   0.0771   0.0485   0.622
0.414   0.0726   0.0474   0.634
0.435   0.0688   0.0462   0.647
0.436   0.0678   0.0458   0.645
0.457   0.0633   0.0442   0.656
0.481   0.0582   0.0423   0.662
0.504   0.0537   0.0404   0.670
0.527   0.0487   0.0382   0.671
0.550   0.0437   0.0360   0.667
0.568   0.0400   0.0343   0.662
0.592   0.0351   0.0320   0.649
0.616   0.0303   0.0295   0.633
0.634   0.0271   0.0278   0.617
0.659   0.0221   0.0251   0.579
0.679   0.0180   0.0228   0.537
0.704   0.0132   0.0198   0.468
0.724   0.0095   0.0176   0.392
0.745   0.0051   0.0147   0.259
0.767   0.0010   0.0120   0.061
0.788   -0.0034   0.0092   -0.290
