J       CT       CP       eta
0.100   0.1099   0.0993   0.111
0.130   0.1093   0.0996   0.143
0.155   0.1075   0.0984   0.169
0.182   0.1066   0.0976   0.198
0.209   0.1051   0.0961   0.228
0.239   0.1037   0.0947   0.262
0.267   0.1025   0.0930   0.294
0.293   0.1010   0.0914   0.324
0.325   0.0994   0.0895   0.361
0.349   0.0989   0.0882   0.392
0.377   0.0980   0.0867   0.426
0.402   0.0976   0.0858   0.458
0.435   0.0959   0.0845   0.494
0.460   0.0971   0.0840   0.531
0.485   0.0954   0.0836   0.554
0.514   0.0938   0.0833   0.579
0.537   0.0925   0.0833   0.597
0.543   0.0914   0.0829   0.598
0.569   0.0890   0.0826   0.614
0.598   0.0866   0.0822   0.630
0.619   0.0849   0.0818   0.642
0.650   0.0819   0.0812   0.656
0.675   0.0793   0.0804   0.666
0.708   0.0741   0.0783   0.671
0.733   0.0708   0.0768   0.675
0.759   0.0666   0.0749   0.675
0.790   0.0604   0.0715   0.668
0.814   0.0558   0.0688   0.661
0.846   0.0493   0.0647   0.645
0.868   0.0456   0.0621   0.637
0.901   0.0396   0.0579   0.616
0.922   0.0363   0.0555   0.602
0.955   0.0301   0.0508   0.564
0.983   0.0253   0.0471   0.529
1.002   0.0220   0.0446   0.493
1.037   0.0155   0.0396   0.406
1.055   0.0127   0.0371   0.361
1.093   0.0055   0.0309   0.195
