J       CT       CP       eta
0.101   0.1537   0.0905   0.172
0.134   0.1513   0.0899   0.225
0.157   0.1496   0.0897   0.261
0.182   0.1474   0.0894   0.301
0.213   0.1450   0.0891   0.346
0.243   0.1421   0.0888   0.389
0.270   0.1395   0.0886   0.425
0.297   0.1367   0.0883   0.460
0.325   0.1334   0.0879   0.494
0.353   0.1296   0.0871   0.525
0.379   0.1257   0.0862   0.553
0.406   0.1207   0.0848   0.578
0.434   0.1163   0.0835   0.604
0.463   0.1097   0.0808   0.630
0.491   0.1047   0.0788   0.653
0.517   0.0995   0.0766   0.672
0.546   0.0936   0.0741   0.690
0.570   0.0895   0.0724   0.705
0.596   0.0844   0.0700   0.718
0.630   0.0778   0.0668   0.734
0.655   0.0732   0.0647   0.742
0.682   0.0683   0.0621   0.750
0.714   0.0620   0.0589   0.752
0.738   0.0575   0.0566   0.750
0.763   0.0522   0.0537   0.741
0.796   0.0446   0.0495   0.716
0.820   0.0385   0.0465   0.680
0.851   0.0314   0.0424   0.631
0.873   0.0260   0.0393   0.577
0.904   0.0169   0.0344   0.444
0.933   0.0089   0.0297   0.279
0.958   0.0019   0.0257   0.072
0.989   -0.0069   0.0204   -0.337
