J       CT       CP       eta
0.104   0.1743   0.1159   0.157
0.137   0.1718   0.1135   0.208
0.161   0.1694   0.1118   0.243
0.195   0.1659   0.1099   0.294
0.220   0.1637   0.1091   0.330
0.248   0.1616   0.1086   0.368
0.279   0.1581   0.1077   0.409
0.309   0.1549   0.1068   0.448
0.338   0.1518   0.1064   0.482
0.367   0.1484   0.1060   0.514
0.396   0.1448   0.1053   0.545
0.423   0.1411   0.1047   0.570
0.449   0.1375   0.1040   0.594
0.481   0.1312   0.1019   0.620
0.509   0.1259   0.0999   0.641
0.535   0.1202   0.0976   0.659
0.574   0.1104   0.0931   0.681
0.599   0.1045   0.0901   0.694
0.625   0.0986   0.0869   0.709
0.650   0.0934   0.0843   0.720
0.689   0.0858   0.0804   0.735
0.713   0.0816   0.0783   0.743
0.746   0.0749   0.0744   0.751
0.772   0.0694   0.0716   0.748
0.803   0.0629   0.0677   0.746
0.826   0.0578   0.0648   0.737
0.862   0.0495   0.0597   0.715
0.884   0.0445   0.0566   0.695
0.920   0.0357   0.0507   0.647
0.950   0.0280   0.0458   0.582
0.975   0.0211   0.0413   0.497
1.008   0.0125   0.0353   0.358
1.035   0.0044   0.0299   0.150
1.066   -0.0042   0.0236   -0.188
