J       CT       CP       eta
0.106   0.1320   0.1131   0.124
0.135   0.1308   0.1118   0.157
0.160   0.1296   0.1109   0.187
0.190   0.1284   0.1097   0.222
0.218   0.1265   0.1078   0.256
0.250   0.1257   0.1066   0.295
0.278   0.1274   0.1046   0.339
0.307   0.1271   0.1032   0.378
0.336   0.1258   0.1027   0.411
0.364   0.1244   0.1022   0.443
0.393   0.1239   0.1018   0.478
0.422   0.1229   0.1012   0.512
0.448   0.1220   0.1003   0.545
0.477   0.1204   0.0998   0.575
0.504   0.1184   0.0996   0.599
0.532   0.1161   0.0994   0.621
0.560   0.1136   0.0991   0.642
0.592   0.1105   0.0985   0.664
0.619   0.1076   0.0980   0.680
0.643   0.1053   0.0976   0.694
0.676   0.1013   0.0964   0.710
0.701   0.0985   0.0957   0.722
0.729   0.0949   0.0947   0.731
0.762   0.0900   0.0929   0.739
0.789   0.0851   0.0910   0.739
0.812   0.0801   0.0884   0.736
0.848   0.0694   0.0824   0.714
0.873   0.0631   0.0779   0.708
0.903   0.0544   0.0718   0.685
0.928   0.0486   0.0676   0.667
0.961   0.0412   0.0619   0.640
0.986   0.0360   0.0582   0.610
1.018   0.0293   0.0528   0.564
1.041   0.0254   0.0495   0.534
1.072   0.0196   0.0451   0.465
1.105   0.0130   0.0391   0.367
1.124   0.0097   0.0362   0.300

