J         CT        CP        eta
0.123569  0.129087  0.093600  0.170419
0.156823  0.126878  0.090580  0.219665
0.184621  0.124763  0.088114  0.261411
0.216700  0.123775  0.085994  0.311904
0.246215  0.121093  0.083485  0.357128
0.279098  0.117725  0.081267  0.404304
0.309475  0.114816  0.079596  0.446414
0.342623  0.112412  0.078633  0.489804
0.371013  0.108465  0.076569  0.525566
0.405801  0.106048  0.075829  0.567516
0.437682  0.101304  0.073734  0.601331
0.466135  0.096676  0.071835  0.627322
0.499475  0.092414  0.070471  0.655003
0.529146  0.086514  0.067884  0.674360
0.561527  0.081743  0.066051  0.694936
0.595472  0.076077  0.063590  0.712402
0.625811  0.070306  0.060827  0.723335
0.652465  0.064503  0.057549  0.731301
0.687936  0.058467  0.054521  0.737725
0.721496  0.051621  0.050589  0.736218
0.753219  0.045353  0.046805  0.729839
0.787192  0.038616  0.042401  0.716920
0.812928  0.032604  0.038030  0.696928
0.850477  0.025176  0.032628  0.656232
0.878998  0.018100  0.027027  0.588641
0.909785  0.010407  0.020834  0.454433
0.949864  0.001579  0.013337  0.112461
0.973496 -0.005696  0.006635 -0.835895

