J       CT       CP       eta
0.097   0.1458   0.0705   0.200
0.125   0.1432   0.0704   0.255
0.153   0.1392   0.0696   0.305
0.179   0.1362   0.0693   0.351
0.208   0.1314   0.0685   0.400
0.238   0.1272   0.0681   0.444
0.264   0.1232   0.0674   0.483
0.290   0.1185   0.0662   0.519
0.318   0.1130   0.0646   0.557
0.344   0.1070   0.0626   0.588
0.374   0.0987   0.0600   0.614
0.398   0.0929   0.0577   0.642
0.429   0.0862   0.0548   0.675
0.450   0.0812   0.0532   0.686
0.481   0.0748   0.0509   0.706
0.503   0.0698   0.0490   0.716
0.535   0.0630   0.0461   0.732
0.561   0.0570   0.0439   0.729
0.590   0.0503   0.0411   0.723
0.614   0.0441   0.0387   0.702
0.639   0.0376   0.0362   0.664
0.669   0.0305   0.0329   0.619
0.690   0.0243   0.0304   0.552
0.723   0.0154   0.0266   0.419
0.749   0.0086   0.0233   0.276
0.780   0.0001   0.0197   0.005
0.807   -0.0092   0.0156   -0.473
0.832   -0.0171   0.0120   -1.180
0.859   -0.0255   0.0080   -2.730
