J       CT       CP       eta
0.093   0.1458   0.0766   0.177
0.122   0.1442   0.0774   0.228
0.146   0.1429   0.0782   0.266
0.170   0.1416   0.0793   0.303
0.192   0.1398   0.0799   0.336
0.218   0.1376   0.0805   0.373
0.244   0.1351   0.0810   0.407
0.269   0.1323   0.0813   0.438
0.292   0.1299   0.0815   0.465
0.318   0.1271   0.0818   0.494
0.342   0.1241   0.0819   0.519
0.364   0.1215   0.0818   0.540
0.387   0.1185   0.0817   0.562
0.411   0.1153   0.0814   0.582
0.436   0.1119   0.0810   0.602
0.460   0.1084   0.0803   0.620
0.483   0.1048   0.0795   0.637
0.484   0.1045   0.0795   0.636
0.506   0.1010   0.0786   0.650
0.530   0.0971   0.0774   0.664
0.552   0.0932   0.0761   0.676
0.580   0.0882   0.0741   0.690
0.603   0.0840   0.0723   0.700
0.629   0.0782   0.0694   0.709
0.652   0.0743   0.0675   0.718
0.679   0.0672   0.0635   0.719
0.702   0.0626   0.0609   0.721
0.727   0.0568   0.0572   0.722
0.749   0.0518   0.0539   0.720
0.769   0.0470   0.0505   0.716
0.798   0.0399   0.0456   0.698
0.819   0.0350   0.0419   0.684
0.859   0.0284   0.0375   0.651
0.862   0.0244   0.0340   0.619
0.894   0.0172   0.0286   0.538
0.918   0.0100   0.0227   0.406
0.945   0.0039   0.0176   0.211
