J       CT       CP       eta
0.094   0.1158   0.0608   0.179
0.118   0.1155   0.0615   0.223
0.145   0.1150   0.0622   0.268
0.169   0.1144   0.0630   0.307
0.194   0.1134   0.0638   0.345
0.219   0.1124   0.0645   0.381
0.246   0.1111   0.0652   0.419
0.272   0.1099   0.0661   0.452
0.300   0.1080   0.0666   0.486
0.323   0.1067   0.0674   0.512
0.350   0.1047   0.0678   0.541
0.376   0.1025   0.0682   0.565
0.398   0.1006   0.0684   0.585
0.422   0.0982   0.0685   0.605
0.449   0.0953   0.0685   0.625
0.474   0.0928   0.0684   0.643
0.498   0.0899   0.0681   0.658
0.499   0.0895   0.0677   0.659
0.525   0.0864   0.0673   0.674
0.549   0.0833   0.0667   0.685
0.573   0.0801   0.0659   0.696
0.601   0.0761   0.0650   0.704
0.625   0.0732   0.0640   0.714
0.654   0.0686   0.0623   0.721
0.678   0.0647   0.0606   0.724
0.698   0.0612   0.0591   0.723
0.726   0.0550   0.0557   0.717
0.754   0.0488   0.0520   0.707
0.774   0.0440   0.0489   0.696
0.806   0.0359   0.0434   0.668
0.824   0.0312   0.0402   0.640
0.854   0.0239   0.0354   0.578
0.880   0.0182   0.0310   0.516
0.903   0.0129   0.0269   0.432
0.931   0.0065   0.0219   0.276
0.957   0.0006   0.0169   0.033

