J       CT       CP       eta
0.087   0.1122   0.0504   0.193
0.110   0.1108   0.0507   0.239
0.133   0.1095   0.0510   0.286
0.157   0.1073   0.0510   0.330
0.177   0.1060   0.0514   0.365
0.199   0.1040   0.0515   0.402
0.223   0.1017   0.0517   0.439
0.247   0.0997   0.0521   0.472
0.269   0.0972   0.0521   0.502
0.291   0.0952   0.0523   0.530
0.313   0.0929   0.0523   0.557
0.336   0.0902   0.0521   0.580
0.358   0.0878   0.0522   0.602
0.377   0.0851   0.0519   0.619
0.398   0.0823   0.0515   0.636
0.421   0.0789   0.0510   0.651
0.441   0.0763   0.0504   0.667
0.466   0.0716   0.0492   0.677
0.486   0.0677   0.0480   0.685
0.506   0.0631   0.0463   0.690
0.532   0.0571   0.0439   0.693
0.556   0.0515   0.0412   0.695
0.577   0.0466   0.0387   0.695
0.596   0.0424   0.0366   0.690
0.620   0.0367   0.0336   0.678
0.643   0.0324   0.0311   0.668
0.668   0.0270   0.0283   0.637
0.687   0.0229   0.0260   0.606
0.712   0.0176   0.0228   0.551
0.731   0.0136   0.0204   0.486
0.756   0.0083   0.0172   0.364
0.774   0.0051   0.0150   0.261
0.801   -0.0006   0.0112   -0.044
0.818   -0.0042   0.0087   -0.396
