J       CT       CP       eta
0.116   0.1169   0.1224   0.110
0.146   0.1163   0.1217   0.139
0.177   0.1160   0.1215   0.169
0.207   0.1157   0.1209   0.198
0.240   0.1155   0.1207   0.230
0.270   0.1151   0.1198   0.259
0.302   0.1149   0.1187   0.292
0.331   0.1140   0.1179   0.321
0.365   0.1134   0.1158   0.358
0.393   0.1127   0.1146   0.386
0.424   0.1118   0.1124   0.422
0.454   0.1113   0.1109   0.456
0.486   0.1109   0.1103   0.488
0.511   0.1106   0.1100   0.514
0.540   0.1104   0.1098   0.543
0.544   0.1101   0.1085   0.552
0.578   0.1090   0.1085   0.580
0.603   0.1078   0.1084   0.600
0.632   0.1064   0.1085   0.620
0.664   0.1046   0.1086   0.639
0.695   0.1019   0.1086   0.652
0.729   0.0996   0.1085   0.669
0.761   0.0949   0.1078   0.669
0.790   0.0920   0.1077   0.675
0.819   0.0894   0.1071   0.683
0.851   0.0851   0.1059   0.684
0.879   0.0822   0.1043   0.693
0.907   0.0785   0.1032   0.690
0.937   0.0742   0.1013   0.686
0.973   0.0687   0.0978   0.683
0.996   0.0651   0.0956   0.678
1.031   0.0588   0.0914   0.663
1.066   0.0514   0.0861   0.637
1.095   0.0455   0.0807   0.616
1.122   0.0392   0.0757   0.582
1.158   0.0323   0.0688   0.543
1.181   0.0268   0.0640   0.494
1.216   0.0208   0.0572   0.442
