J       CT       CP       eta
0.086   0.1145   0.0549   0.179
0.109   0.1132   0.0551   0.224
0.132   0.1118   0.0555   0.266
0.158   0.1102   0.0559   0.311
0.182   0.1083   0.0562   0.351
0.210   0.1061   0.0565   0.395
0.233   0.1041   0.0567   0.428
0.259   0.1024   0.0572   0.465
0.284   0.1000   0.0574   0.496
0.311   0.0974   0.0575   0.526
0.332   0.0955   0.0575   0.551
0.357   0.0928   0.0575   0.576
0.379   0.0902   0.0573   0.596
0.405   0.0872   0.0572   0.618
0.430   0.0840   0.0569   0.635
0.449   0.0811   0.0563   0.646
0.476   0.0766   0.0552   0.659
0.478   0.0761   0.0552   0.659
0.505   0.0713   0.0537   0.670
0.526   0.0666   0.0520   0.674
0.551   0.0611   0.0497   0.679
0.569   0.0570   0.0477   0.680
0.599   0.0502   0.0444   0.677
0.627   0.0439   0.0410   0.671
0.646   0.0400   0.0388   0.665
0.675   0.0337   0.0352   0.646
0.700   0.0279   0.0317   0.614
0.718   0.0245   0.0297   0.594
0.747   0.0184   0.0258   0.533
0.774   0.0133   0.0223   0.459
0.797   0.0082   0.0189   0.348
0.823   0.0028   0.0150   0.151
