J         CT        CP        eta
0.057476  0.191764  0.141388  0.077954
0.087071  0.189525  0.139606  0.118206
0.116588  0.186804  0.137097  0.158859
0.146239  0.183319  0.134484  0.199343
0.176147  0.180442  0.132544  0.239803
0.205297  0.175601  0.129277  0.278862
0.233974  0.170541  0.126092  0.316455
0.262298  0.165611  0.123252  0.352447
0.294259  0.160877  0.120464  0.392980
0.322072  0.155627  0.116988  0.428454
0.351782  0.149509  0.113128  0.464916
0.380361  0.144176  0.110638  0.495662
0.409444  0.138637  0.107986  0.525661
0.438730  0.132848  0.104808  0.556107
0.467768  0.126654  0.101737  0.582331
0.499495  0.120544  0.098846  0.609147
0.527646  0.114644  0.095885  0.630872
0.557731  0.107609  0.092284  0.650351
0.588285  0.100087  0.088259  0.667130
0.616285  0.092159  0.083761  0.678067
0.646573  0.084331  0.080069  0.680984
0.675993  0.076230  0.075894  0.678981
0.704966  0.068494  0.071652  0.673897
0.734275  0.060191  0.067045  0.659203
0.765308  0.052401  0.062812  0.638457
0.791460  0.045279  0.058399  0.613646
0.822316  0.036658  0.053288  0.565700
0.851150  0.028248  0.047997  0.500934
0.880591  0.018599  0.042128  0.388786
0.909215  0.010148  0.037346  0.247025
0.941030  0.000305  0.031559  0.009104
0.968062 -0.007619  0.026737 -0.275876
0.997403 -0.016865  0.020438 -0.823009
1.028875 -0.026703  0.014011 -1.960971
1.062053 -0.037742  0.006495 -6.171047
